,Layer,Sample_Index,Exhaustive_p,data_aware_p,data_aware_error,data_aware_n,data_unaware_p,data_unaware_error,data_unaware_n,date_per_layer_p,date_per_layer_error,date_per_layer_n
31,3,1,0.5939805772569449,0.007535125409075576,0.0028581062599123833,5852.0,0.006035259074535889,0.00027378692596262167,115488.0,0.006443831524783006,0.0016002608611011956,14954.0
32,3,2,0.5939805772569449,0.005680243834857303,0.002483831210780594,5852.0,0.0059313521751177675,0.00027143403404352964,115488.0,0.006192331444347575,0.00156891982787084,14954.0
33,3,3,0.5939805772569449,0.0056109725685785546,0.0024687254299136647,5852.0,0.006173801607093378,0.00027689225779398,115488.0,0.004829583631871928,0.0013865197396839197,14954.0
34,3,4,0.5939805772569449,0.006119808026204251,0.002577575963671654,5852.0,0.005957328899972292,0.0002720242114788343,115488.0,0.005565081721668457,0.001487806455563453,14954.0
35,3,5,0.5939805772569449,0.005977238743857431,0.0025475576586109607,5852.0,0.005792809642560268,0.0002682639629038565,115488.0,0.005148432409745756,0.0014313278939253387,14954.0
36,3,6,0.5939805772569449,0.005981340434952725,0.002548426341281953,5852.0,0.0059833056248268235,0.00027261308031777766,115488.0,0.0050800577385318145,0.0014218404818580922,14954.0
37,3,7,0.5939805772569449,0.005738632486754615,0.002496491231396536,5852.0,0.005965987808257138,0.0002722206460716508,115488.0,0.00690345096728711,0.0016559657172359027,14954.0
38,3,8,0.5939805772569449,0.005619362028709822,0.0024705599232732385,5852.0,0.005991964533111666,0.0002728090805967459,115488.0,0.005203948564151593,0.0014389841387637957,14954.0
39,3,9,0.5939805772569449,0.0061425128331593784,0.002582323511038104,5852.0,0.0059746467165419795,0.00027241693558016693,115488.0,0.006761750336488095,0.0016389992939512318,14954.0
40,4,0,0.7421875000000002,0.0071782349681352164,0.0027901017144065093,5852.0,0.0072648240509836535,0.00030019849653708245,115488.0,0.007720916377646821,0.0017505472023631335,14954.0
41,4,1,0.7421875000000002,0.007255970635851202,0.002805058715463835,5852.0,0.007524591299528962,0.00030547846011886893,115488.0,0.007831516158530123,0.0017629423912978817,14954.0
42,4,2,0.7421875000000002,0.00760763901632441,0.002871720781647839,5852.0,0.0071435993349958475,0.0002977014989487415,115488.0,0.0074144220875972874,0.0017157148734372452,14954.0
43,4,3,0.7421875000000002,0.00747952607507825,0.0028476219610812175,5852.0,0.007368730950401779,0.0003023218824348939,115488.0,0.006988517365415681,0.001666065772760192,14954.0
44,4,4,0.7421875000000002,0.007574774066211525,0.0028655586086583054,5852.0,0.00739470767525631,0.00030285033309914144,115488.0,0.008047556003374264,0.0017868986165404338,14954.0
45,4,5,0.7421875000000002,0.007337442176467771,0.0028206468986197632,5852.0,0.0074466611249653725,0.000303904394481572,115488.0,0.006534432695004026,0.0016113980624751546,14954.0
46,4,6,0.7421875000000002,0.007174693602082238,0.002789418359174717,5852.0,0.00748995566638959,0.000304779909764141,115488.0,0.007401315789473683,0.001714209105728924,14954.0
47,4,7,0.7421875000000002,0.007671070269147619,0.0028835757398050664,5852.0,0.007550568024383485,0.0003060012942336127,115488.0,0.0072532811564887814,0.001697106001028323,14954.0
48,4,8,0.7421875000000002,0.007533055700966195,0.0028577166880210544,5852.0,0.0074293433083956785,0.00030355345971445473,115488.0,0.007372606313292438,0.0017109059353901117,14954.0
49,4,9,0.7421875000000002,0.007462208258508559,0.0028443482258627794,5852.0,0.007671792740371299,0.0003084291068998167,115488.0,0.00747141372141372,0.0017222468046891291,14954.0
50,5,0,1.4073486328124998,0.01369586739170592,0.0038412781311411193,5852.0,0.014616237184815736,0.0004242284098410081,115488.0,0.013647571824021069,0.0023204180558872964,14954.0
51,5,1,1.4073486328124998,0.013573626824581544,0.0038243342791986798,5852.0,0.013958160155167636,0.00041470666720461944,115488.0,0.013450401746817124,0.0023038254581643058,14954.0
52,5,2,1.4073486328124998,0.014153773679666052,0.0039040580697469306,5852.0,0.01445171792740371,0.00042186932501206225,115488.0,0.013158087239694399,0.0022789912451401883,14954.0
53,5,3,1.4073486328124998,0.014133930348179955,0.0039013596640361985,5852.0,0.014217927403712942,0.00041849267558751954,115488.0,0.015042877532598269,0.0024344261547661187,14954.0
54,5,4,1.4073486328124998,0.013910871224620336,0.0038708897927574614,5852.0,0.013914865613743421,0.00041407210232065247,115488.0,0.013261398060785063,0.0022878007484143795,14954.0
55,5,5,1.4073486328124998,0.014321639796283456,0.003926806855418299,5852.0,0.014183291770573562,0.00041798997236366936,115488.0,0.014819405762471993,0.0024165500917874426,14954.0
56,5,6,1.4073486328124998,0.013753693215536766,0.0038492659463620414,5852.0,0.014564283735106678,0.0004234849417000123,115488.0,0.014236869638506362,0.00236927800309048,14954.0
57,5,7,1.4073486328124998,0.013926871381233634,0.003873083861526126,5852.0,0.014070725962870602,0.0004163517464155676,115488.0,0.012627333148510994,0.002233154921074354,14954.0
58,5,8,1.4073486328124998,0.013931730407243008,0.003873749909538755,5852.0,0.014295857578276535,0.0004196214253155181,115488.0,0.01360309317501656,0.002316685978364391,14954.0
59,5,9,1.4073486328124998,0.014146885454407699,0.003903121594747612,5852.0,0.013776323081185924,0.0004120345454401466,115488.0,0.015031042521474794,0.0024334829416883972,14954.0
60,6,0,1.2373250325520841,0.012519010696857133,0.0036747257547912367,5852.0,0.012079177057356607,0.00038615263315574356,115488.0,0.013270588454249378,0.002288582697274255,14954.0
61,6,1,1.2373250325520841,0.011713732226366695,0.0035560231745270523,5852.0,0.012243696314768633,0.0003887410799443791,115488.0,0.012549898971430716,0.002226384537002782,14954.0
62,6,2,1.2373250325520841,0.012258488616421908,0.003636768638393932,5852.0,0.012373579939041292,0.00039077186817979237,115488.0,0.013146511527088432,0.002278001923650178,14954.0
